Stochastic,Momentum,Wiliams,ADI,EMA,MACD,RSI,OBV,BB_BBM,BB_BBH,BB_BBL,ATR
96.21587302,2059.575824,-3.784126984,1264856.746,30909.55797,776.3792307,85.2296382,580238.9233,30154.639,32431.47362,27877.80438,485.6835928
92.40526837,2316.085882,-7.594731633,1267132.316,31188.2809,872.5586618,85.78178497,587409.2188,30351.003,32883.75156,27818.25444,513.7776219
92.91428571,2532.170265,-7.085714286,1268724.763,31433.47012,940.1406244,85.88989591,593254.0753,30550.911,33259.75786,27842.06414,514.9363632
31.18875928,2512.257765,-68.81124072,1254460.205,31331.30344,794.1150895,50.22939674,577520.7921,30624.398,33261.17641,27987.61959,657.5387658
58.04045383,2217.865353,-41.95954617,1261060.912,31379.74164,752.6133161,58.33866652,587915.9128,30741.154,33350.20098,28132.10702,732.4245682
69.829774,1974.949735,-30.170226,1263485.72,31481.86409,747.5036837,61.31863954,591794.9749,30882.246,33474.59216,28289.89984,743.4628134
70.68364832,1697.091147,-29.31635168,1267261.928,31574.72621,737.5880039,61.53325179,596417.3152,31023.565,33574.63928,28472.49072,743.6918981
76.82862823,1464.479853,-23.17137177,1269984.087,31691.15472,742.9210979,63.34086907,599763.3774,31178.4805,33679.94844,28677.01256,728.7717625
79.91041446,1508.684265,-20.08958554,1271018.227,31810.34609,749.5738515,64.26091382,603164.5296,31328.2355,33789.67517,28866.79583,718.7930652
81.389,1723.203824,-18.611,1271315.594,31934.52261,758.7346828,65.33070009,605181.7393,31479.8655,33896.87578,29062.85522,691.3142748
75.79566667,1770.074647,-24.20433333,1271241.551,32019.76893,743.8796683,63.14916822,603055.8605,31621.059,33945.5113,29296.6067,667.0775409
96.41766667,1863.880441,-3.582333333,1274183.944,32176.13707,773.1156578,67.46302907,606491.9315,31788.46,34058.62851,29518.29149,676.5720023
89.14097938,2016.329265,-10.85902062,1276388.324,32387.14146,832.373078,70.82841831,616847.0018,31995.75,34189.26216,29802.23784,704.7140021
94.51365979,2156.925,-5.486340206,1278095.693,32597.8066,885.9433864,71.97774842,621373.9128,32210.057,34291.74639,30128.36761,687.158002
92.72527919,2314.479235,-7.274720809,1281076.334,32845.07772,956.5244156,74.49645224,629341.9868,32444.924,34423.02569,30466.82231,712.4267161
90.83474948,2486.202912,-9.165250519,1283147.383,33048.09136,994.1688754,73.25916862,623195.2127,32633.1065,34590.87453,30675.33847,726.7619507
86.87928613,2603.420912,-13.12071387,1283087.691,33200.41918,998.2028097,70.61652525,617142.5337,32765.5755,34767.90527,30763.24573,731.1989542
79.89888591,2510.543382,-20.10111409,1283107.225,33290.75795,965.0518145,66.08594998,610807.3071,32894.947,34832.65301,30957.24099,746.6133146
89.12723857,2414.982118,-10.87276143,1286770.787,33440.46089,970.8046038,69.67569578,614924.1602,33031.059,34993.72543,31068.39257,740.6016493
79.42747498,2273.095647,-20.57252502,1284594.598,33528.89544,939.5342866,65.36550462,610377.8768,33112.131,35111.04508,31113.21692,735.6479601
68.09691949,2108.45,-31.90308051,1281417.055,33575.70938,886.4811972,62.36529065,606004.1384,33163.283,35185.68096,31140.88504,724.8888201
62.49403401,1897.444353,-37.50596599,1281612.536,33607.15346,829.35184,61.4360174,600075.3328,33203.861,35244.01321,31163.70879,723.1110472
46.44350936,1669.530235,-53.55649064,1284633.884,33593.749,750.8169666,57.33797424,591684.0831,33227.832,35270.38271,31185.28129,753.3495438
11.48809449,1386.019382,-88.51190551,1277014.24,33471.48114,614.5292228,47.9611255,583700.3439,33328.308,35025.66636,31630.94964,783.3024335
19.72716066,1018.652588,-80.27283934,1277272.616,33396.51965,519.2972956,50.40833759,591148.1531,33389.042,34927.73709,31850.34691,790.1094026
20.02142479,644.5743529,-79.97857521,1278756.064,33312.9517,427.6384661,48.92186219,586440.9532,33420.247,34880.10654,31960.38746,788.2851595
20.1189912,336.2532941,-79.8810088,1279521.836,33240.8528,351.1480616,48.9503326,588729.3926,33449.941,34829.49954,32070.38246,765.8569339
58.11015846,224.0449118,-41.88984154,1284048.543,33305.5671,363.3205588,58.62188728,594150.0708,33513.8545,34818.19561,32209.51339,788.9314386
53.72949268,196.4414412,-46.27050732,1282549.893,33339.27015,355.3256714,56.59021291,592027.0028,33562.517,34795.28164,32329.75236,758.0020501
36.52550364,195.0438235,-63.47449636,1280732.852,33309.91946,309.9766778,51.55583245,589185.9697,33581.3905,34774.22012,32388.56088,751.0804751
31.42091727,224.6407941,-68.57908273,1279717.848,33268.60354,261.4142848,50.2504367,584108.4091,33602.6995,34736.54166,32468.85734,768.8604412
24.72696099,194.9035,-75.27303901,1280904.259,33211.97373,207.92974,48.51562239,579316.2022,33585.267,34753.98257,32416.55143,764.7411239
39.60737248,90.99491176,-60.39262752,1283021.989,33209.18257,191.35,52.44585526,582706.2261,33556.8855,34734.91067,32378.86033,761.8689008
56.05329506,-19.54085294,-43.94670494,1284850.835,33241.85422,197.1739643,55.23571491,585886.5769,33531.24,34694.66618,32367.81382,752.4225507
65.75464684,-38.29955882,-34.24535316,1287924.58,33276.96166,203.5534923,55.77651614,589060.786,33483.881,34567.8736,32399.8884,723.7287971
61.66080488,4.650617647,-38.33919512,1285850.469,33274.37344,186.4796354,52.45895038,585893.7568,33428.3745,34436.7103,32420.0387,701.5953116
34.23431896,62.23558824,-65.76568104,1282026.963,33212.85831,135.5156776,47.04841208,581903.0559,33359.4975,34337.92344,32381.07156,688.1706465
52.22957891,53.01167647,-47.77042109,1281858.974,33197.81321,116.9376973,50.59158743,586671.8208,33320.6005,34275.04822,32366.15278,681.5156003
23.92274664,-170.7830588,-76.07725336,1278885.274,33047.28345,18.79030299,40.1870663,577199.444,33203.366,34167.97817,32238.75383,750.2423432
24.67494776,-440.1984118,-75.32505224,1279308.144,32913.66432,-60.21053642,39.98353858,570670.1907,33100.437,34097.56746,32103.30654,776.5021758
21.85897312,-858.9231471,-78.14102688,1277390.862,32663.65974,-201.711017,32.46396441,559398.2942,32958.3685,34239.8525,31676.8845,856.9877347
37.34804394,-1459.954265,-62.65195606,1284799.129,32344.60644,-371.5291028,28.11917368,540021.463,32781.3295,34459.39314,31103.26586,1017.012182
47.24304388,-1983.050882,-52.75695612,1292240.568,32131.06692,-462.6671574,33.97255393,549434.9531,32643.1515,34504.66276,30781.64024,1051.525598
56.47202925,-2207.444206,-43.52797075,1296906.686,32009.46066,-490.8307369,39.33393523,557751.8339,32570.2655,34532.24898,30608.28202,1046.403769
59.78062157,-2362.761618,-40.21937843,1302381.341,31928.19924,-492.8655557,41.28619338,563226.4887,32494.802,34514.08892,30475.51508,1028.8035
72.82778793,-2214.714647,-27.17221207,1308803.97,31952.93001,-431.9113476,48.34543083,570705.8723,32461.998,34483.66703,30440.32897,1010.169679
66.10091408,-1724.619324,-33.89908592,1306759.357,31925.30201,-408.5860694,45.31998699,565384.252,32410.6735,34450.27479,30371.07221,983.4197016
58.323766,-1415.072118,-41.676234,1306743.104,31844.63641,-419.5908678,42.04408896,557209.9663,32290.3785,34288.81317,30291.94383,998.6754372
52.90987203,-1295.3505,-47.09012797,1306183.947,31735.24089,-447.0549023,39.88285917,552247.4035,32163.67,34145.74781,30181.59219,991.387906
57.50587344,-1161.040912,-42.49412656,1305198.763,31659.2301,-452.2305999,41.42659295,555608.8434,32065.971,34042.65305,30089.28895,953.7487698
66.98579007,-1141.934324,-33.01420993,1306869.931,31660.06742,-411.2180484,46.66123865,558997.2156,31999.244,33934.96998,30063.51802,939.249572
62.06739209,-1142.111471,-37.93260791,1304340.083,31604.7211,-407.9468124,43.16920108,556146.2525,31919.2985,33840.90558,29997.69142,916.5138883
64.99206828,-1077.573029,-35.00793172,1302539.156,31525.99428,-419.1383305,41.34138444,552943.7964,31810.46,33677.42024,29943.49976,902.6857534
78.95242956,-960.2677647,-21.04757044,1303290.016,31500.13505,-397.7801372,44.80794529,554590.2805,31704.3515,33420.71111,29987.99189,875.6924853
95.1435891,-815.2223824,-4.856410901,1307080.965,31565.27837,-324.1302691,51.22274447,558783.9293,31628.529,33141.96344,30115.09456,876.0723078
52.37447365,-832.658,-47.62552635,1305542.154,31471.10526,-352.8545004,42.14683333,551554.4429,31508.6005,32857.91576,30159.28524,925.6892858
23.46139206,-931.6915588,-76.53860794,1303832.639,31333.12456,-405.0601574,39.33807975,545187.4668,31389.7625,32675.78431,30103.74069,964.2943368
53.51822442,-980.1821471,-46.48177558,1309023.802,31305.14128,-386.5425365,45.67432752,551798.6775,31290.924,32312.6801,30269.1679,993.304027
40.15321547,-960.8548529,-59.84678453,1306805.67,31240.15844,-391.9981607,43.49861192,548987.2936,31228.3705,32204.11537,30252.62563,961.8223108
56.53003277,-1001.450029,-43.46996723,1307008.837,31233.74932,-361.9450097,46.84023853,552224.4145,31185.718,32086.62969,30284.80631,943.4364315
78.34923346,-863.7305882,-21.65076654,1307953.679,31278.53341,-304.1572133,50.04907066,556160.0125,31212.268,32125.48921,30299.04679,923.4795435
67.84435549,-657.3958235,-32.15564451,1307508.837,31287.49829,-273.2734729,48.19155236,552985.2521,31266.0185,32071.43368,30460.60332,900.286719
88.06434508,-404.9889706,-11.93565492,1310412.947,31352.71985,-211.5895911,51.89259124,555893.3739,31317.6985,32114.85855,30520.53845,871.1840962
78.11351193,-205.3341765,-21.88648807,1306608.589,31383.69187,-176.1388052,50.17569688,551731.8225,31335.998,32140.0305,30531.9655,844.1916608
72.31877541,-65.29638235,-27.68122459,1304541.841,31393.86762,-156.3282031,49.03612883,549208.7994,31338.9985,32144.41069,30533.58631,818.4443993
98.67720913,15.18167647,-1.322790871,1310175.948,31520.32927,-68.64105669,56.53929278,555150.9022,31350.431,32204.5238,30496.3382,850.219085
88.88556687,191.9177647,-11.11443313,1309332.481,31597.61603,-18.49083021,54.17978773,551534.3032,31368.144,32267.77369,30468.51431,821.2677218
92.77617329,360.2015,-7.223826715,1312084.503,31713.92056,50.52066723,57.12124268,556460.4748,31425.6235,32444.65915,30406.58785,827.3750274
98.36435986,526.4420588,-1.635640138,1315049.028,31851.09516,125.7779867,59.20150562,560060.1205,31511.5515,32662.03839,30361.06461,806.5496683
98.28189781,813.5048235,-1.718102192,1320665.968,32053.99447,233.5720918,63.59442173,566707.1305,31621.9355,33016.12456,30227.74644,804.904692
88.58573065,1176.237882,-11.41426935,1321537.973,32273.16187,341.283119,65.64836112,575366.469,31723.5475,33386.04098,30061.05402,825.1450711
93.64223572,1465.297559,-6.35776428,1326140.999,32499.29629,443.434572,67.30767647,581167.1229,31859.7575,33770.89033,29948.62467,818.0725661
85.53234935,1727.385088,-14.46765065,1325658.266,32659.34078,496.9126099,64.00141565,577485.0487,31994.0255,34022.41734,29965.63366,797.0738113
94.60275639,1969.148853,-5.39724361,1327820.833,32862.55135,571.7414702,67.12305229,582101.4521,32136.594,34351.11826,29922.06974,787.5971105
