Close,date,Stochastic,ADI,EMA,MACD,RSI,OBV,ATR
32113.68,2021-01-04T14:00,72.82778793,1308803.97,31952.93001,-431.9113476,48.34543083,570705.8723,1010.169679
31745.72,2021-01-04T15:00,66.10091408,1306759.357,31925.30201,-408.5860694,45.31998699,565384.252,983.4197016
31320.31,2021-01-04T16:00,58.323766,1306743.104,31844.63641,-419.5908678,42.04408896,557209.9663,998.6754372
31024.17,2021-01-04T17:00,52.90987203,1306183.947,31735.24089,-447.0549023,39.88285917,552247.4035,991.387906
31165.16,2021-01-04T18:00,57.50587344,1305198.763,31659.2301,-452.2305999,41.42659295,555608.8434,953.7487698
31665.51,2021-01-04T19:00,66.98579007,1306869.931,31660.06742,-411.2180484,46.66123865,558997.2156,939.249572
31244.97,2021-01-04T20:00,62.06739209,1304340.083,31604.7211,-407.9468124,43.16920108,556146.2525,916.5138883
31014.27,2021-01-04T21:00,64.99206828,1302539.156,31525.99428,-419.1383305,41.34138444,552943.7964,902.6857534
31332.05,2021-01-04T22:00,78.95242956,1303290.016,31500.13505,-397.7801372,44.80794529,554590.2805,875.6924853
31988.71,2021-01-04T23:00,95.1435891,1307080.965,31565.27837,-324.1302691,51.22274447,558783.9293,876.0723078
30858.98,2021-01-05T04:00,52.37447365,1305542.154,31471.10526,-352.8545004,42.14683333,551554.4429,925.6892858
30436.25,2021-01-05T05:00,23.46139206,1303832.639,31333.12456,-405.0601574,39.33807975,545187.4668,964.2943368
31123.25,2021-01-05T06:00,53.51822442,1309023.802,31305.14128,-386.5425365,45.67432752,551798.6775,993.304027
30817.77,2021-01-05T07:00,40.15321547,1306805.67,31240.15844,-391.9981607,43.49861192,548987.2936,961.8223108
31192.09,2021-01-05T08:00,56.53003277,1307008.837,31233.74932,-361.9450097,46.84023853,552224.4145,943.4364315
31569.63,2021-01-05T09:00,78.34923346,1307953.679,31278.53341,-304.1572133,50.04907066,556160.0125,923.4795435
31345.77,2021-01-05T10:00,67.84435549,1307508.837,31287.49829,-273.2734729,48.19155236,552985.2521,900.286719
31776.66,2021-01-05T11:00,88.06434508,1310412.947,31352.71985,-211.5895911,51.89259124,555893.3739,871.1840962
31585.01,2021-01-05T12:00,78.11351193,1306608.589,31383.69187,-176.1388052,50.17569688,551731.8225,844.1916608
31460.01,2021-01-05T13:00,72.31877541,1304541.841,31393.86762,-156.3282031,49.03612883,549208.7994,818.4443993
32342.33,2021-01-05T14:00,98.67720913,1310175.948,31520.32927,-68.64105669,56.53929278,555150.9022,850.219085
32099.98,2021-01-05T15:00,88.88556687,1309332.481,31597.61603,-18.49083021,54.17978773,551534.3032,821.2677218
32469.9,2021-01-05T16:00,92.77617329,1312084.503,31713.92056,50.52066723,57.12124268,556460.4748,827.3750274
32742.73,2021-01-05T17:00,98.36435986,1315049.028,31851.09516,125.7779867,59.20150562,560060.1205,806.5496683
33372.84,2021-01-05T18:00,98.28189781,1320665.968,32053.99447,233.5720918,63.59442173,566707.1305,804.904692
33697.75,2021-01-05T19:00,88.58573065,1321537.973,32273.16187,341.283119,65.64836112,575366.469,825.1450711
33969.17,2021-01-05T20:00,93.64223572,1326140.999,32499.29629,443.434572,67.30767647,581167.1229,818.0725661
33699.63,2021-01-05T21:00,85.53234935,1325658.266,32659.34078,496.9126099,64.00141565,577485.0487,797.0738113
34183.42,2021-01-05T22:00,94.60275639,1327820.833,32862.55135,571.7414702,67.12305229,582101.4521,787.5971105
33949.53,2021-01-05T23:00,87.45380799,1327550.497,33007.48183,605.1946061,64.22350382,577313.7654,776.6908883
33918.01,2021-01-06T00:00,86.39285516,1330831.919,33128.88559,621.9931074,63.82337698,571207.4135,779.7551106
33811.28,2021-01-06T01:00,83.10705556,1331411.636,33219.87151,619.5520117,62.40558619,567969.7541,760.1926027
33873.3,2021-01-06T02:00,85.01640899,1330017.358,33306.99531,615.526515,62.92104011,571222.0087,732.1445597
34117.59,2021-01-06T03:00,92.53714342,1332556.331,33415.0746,624.84561,64.95902662,574405.0967,716.8485197
35325.91,2021-01-06T04:00,88.99246881,1338516.899,33669.85265,721.4163469,72.89477281,587140.5144,783.9843397
34978.91,2021-01-06T05:00,80.32472804,1337780.224,33844.39363,761.1750002,68.12343321,581544.7307,805.1283154
35125.51,2021-01-06T06:00,81.74837718,1339883.583,34015.20915,795.3451701,69.04528258,585467.7571,779.5234358
34676.4,2021-01-06T07:00,65.01965314,1338817.041,34103.36793,777.2264693,63.03147747,581569.0198,788.0310475
34594.28,2021-01-06T08:00,56.05676673,1340030.012,34168.82287,747.6227412,61.96863676,576474.2606,798.5838298
33919.5,2021-01-06T09:00,25.47829806,1339447.204,34135.57982,662.0804158,53.92264112,570720.3476,830.812842
34417.36,2021-01-06T10:00,45.5647992,1341870.542,34173.15051,627.2303271,58.23171743,574571.9219,822.5683533
34918.53,2021-01-06T11:00,65.78484455,1344054.427,34272.53444,632.7575758,62.07646584,580934.726,825.0370423
34929.87,2021-01-06T12:00,66.24236458,1346474.661,34360.17919,630.7817442,62.16133887,585504.2407,814.1336821
34550,2021-01-06T13:00,50.91625043,1345042.571,34385.48863,591.742312,57.51759477,581207.9684,809.5527049
34213.46,2021-01-06T14:00,35.5198698,1342724.036,34362.55148,527.5658645,53.69080824,575479.6003,790.3760831
34566.19,2021-01-06T15:00,50.16399024,1343941.488,34389.70328,499.4110311,56.92557797,579529.7571,779.6349343
34612.41,2021-01-06T16:00,52.08288357,1341980.972,34419.39751,475.3481726,57.34602176,585672.7434,774.1967247
34898.52,2021-01-06T17:00,63.96117375,1343200,34483.28051,473.9020223,59.95192285,589083.0369,754.3119586
35215.75,2021-01-06T18:00,83.23327808,1346286.286,34580.94311,492.6745025,62.67479053,592787.0453,725.4882473
34816.72,2021-01-06T19:00,62.42009328,1342436.504,34612.38003,469.936309,57.38922783,587167.8376,748.1248011
36015.88,2021-01-06T20:00,91.90484423,1350762.82,34799.51336,542.4255726,66.52549466,598090.2503,835.401601
35874.16,2021-01-06T21:00,80.85408567,1347371.772,34942.79958,581.7323681,64.75830351,590608.926,834.3014866
35989.63,2021-01-06T22:00,84.56444202,1346964.938,35082.37697,615.1101438,65.56103123,593326.7733,823.2135233
36769.36,2021-01-06T23:00,94.52908587,1350578.833,35307.30804,696.4517044,70.45494213,598828.2128,835.1332716
37150.66,2021-01-07T00:00,95.76627174,1354855.86,35553.0883,782.6611697,72.51204318,605087.7918,837.2608951
