Open,High,Low,Close,Volume,date
35869.97,36379.99,35700.92,35989.63,2717.847393,2021-01-06T22:00
35989.64,36939.21,35949.12,36769.36,5501.43949,2021-01-06T23:00
36769.36,37287.63,36422.71,37150.66,6259.578978,2021-01-07T00:00
37150.66,37227.61,36615.83,36871.47,4542.03973,2021-01-07T01:00
36871.47,37087.01,36456,36962.37,4112.981009,2021-01-07T02:00
36962.37,37699,36926.53,37454.48,4747.646909,2021-01-07T03:00
37452.62,37550,37056.12,37450.95,4099.953841,2021-01-07T04:00
37450.95,37700.8,37100.77,37347.2,4337.600291,2021-01-07T05:00
37347.2,37439.75,36710,37130.84,4095.35114,2021-01-07T06:00
37130.85,37338.72,36720,36859.85,3782.276886,2021-01-07T07:00
36863.04,37350,36300,37217.55,5254.610209,2021-01-07T08:00
37217.55,37500.99,36905,37492.69,4407.045594,2021-01-07T09:00
37492.7,37500,36920,37045.45,3236.822718,2021-01-07T10:00
37045.45,37913.72,37038.97,37822.09,4315.490397,2021-01-07T11:00
37825.64,38200,37518,37941.36,6363.359069,2021-01-07T12:00
37941.37,38429,37900,38161.6,5364.346066,2021-01-07T13:00
38161.6,38644.76,38079.02,38453.97,5516.633701,2021-01-07T14:00
38450.51,38970.42,38062.75,38970.42,5401.362641,2021-01-07T15:00
38970.41,39500,38921.49,39120.01,8054.616114,2021-01-07T16:00
39120.01,39775,39101.36,39732.92,4853.729905,2021-01-07T17:00
39732.92,40365,36500,38948.48,16920.67287,2021-01-07T18:00
38907.58,39236.12,37493.52,39062,9539.541292,2021-01-07T19:00
39061.99,39199.33,38352.88,39109.38,4364.133612,2021-01-07T20:00
39111.34,39882.07,38908.11,39687.11,4533.614789,2021-01-07T21:00
39687.11,39969,39150,39665.92,2855.62721,2021-01-07T22:00
39666,39680.54,38541.38,39432.28,5866.665465,2021-01-07T23:00
39432.48,39699.87,38793.23,38793.23,3387.174889,2021-01-08T00:00
38793.24,39000,37800,38681.37,5775.389265,2021-01-08T01:00
38681.38,38692.83,36500,37181.74,9364.247135,2021-01-08T02:00
37181.74,38460.13,37068.4,38347.1,5036.746918,2021-01-08T03:00
38929.56,38985.06,38414.7,38648.95,3277.73807,2021-01-08T08:00
38648.96,39374.22,38222,39358.34,3995.803833,2021-01-08T09:00
39358.99,41057.79,39220,40721.45,10298.22133,2021-01-08T10:00
40722.71,41500.45,40345.39,41286.67,9286.549999,2021-01-08T11:00
41286.67,41785.9,40857.37,41316.91,7590.278927,2021-01-08T12:00
41318.03,41641.83,40700,41311.18,5331.452666,2021-01-08T13:00
41313.24,41564.72,40970.22,41454.13,3918.180651,2021-01-08T14:00
41454.13,41950,39777,40829.08,12863.95162,2021-01-08T15:00
40829.07,41600,40359.67,41303.42,6293.058759,2021-01-08T16:00
41303.41,41556.19,40888.88,41009.07,3675.204655,2021-01-08T17:00
41009.08,41153,39800,39920.39,6673.747782,2021-01-08T18:00
39920.67,40700,39900.35,40365.09,3881.072464,2021-01-08T19:00
40365.09,40500,38888,39059.15,9598.073547,2021-01-08T20:00
39062.88,40116.37,38652,40075.82,6171.364208,2021-01-08T21:00
40075.82,40785,39740.95,40674.45,3008.048563,2021-01-08T22:00
40672.02,40937.77,40465.76,40582.81,2685.599805,2021-01-08T23:00
40586.96,40976.13,39980.27,40283.56,4382.254983,2021-01-09T00:00
40286.09,40321.92,39710,40198.56,4543.736056,2021-01-09T01:00
40196.51,40561.97,39500,39973,3032.046541,2021-01-09T02:00
39973,40376.69,39709.61,40211.59,1917.78678,2021-01-09T03:00
40209.91,40490,39805.03,40206.44,1976.484373,2021-01-09T04:00
40206.43,40206.43,39154.48,39295.37,3025.041625,2021-01-09T05:00
39293.41,39627.11,38888,38984.86,4352.605937,2021-01-09T06:00
38978.46,39692,38720,39638.61,3109.889209,2021-01-09T07:00
39639.21,40254.42,39290.86,40172.14,3081.993289,2021-01-09T08:00
40167.54,40790,40164.03,40348.35,3653.415447,2021-01-09T09:00
40348.36,40800,40105.51,40376.03,3130.356558,2021-01-09T10:00
40376.03,41237.44,40256.73,40565.77,4682.991247,2021-01-09T11:00
