date,compound
2021-01-07 07:00:00,3.9779999999999998
2021-01-07 08:00:00,2.7203
2021-01-07 09:00:00,9.92
2021-01-07 10:00:00,7.1828
2021-01-07 11:00:00,7.4355
2021-01-07 12:00:00,9.7353
2021-01-07 13:00:00,18.1691
2021-01-07 14:00:00,19.2549
2021-01-07 15:00:00,13.0369
2021-01-07 16:00:00,13.8544
2021-01-07 17:00:00,11.7013
2021-01-07 18:00:00,10.418099999999999
2021-01-07 19:00:00,18.741
2021-01-07 20:00:00,7.1906
2021-01-07 21:00:00,9.6651
2021-01-07 22:00:00,12.487
2021-01-07 23:00:00,11.6819
2021-01-08 00:00:00,10.3394
2021-01-08 01:00:00,7.6307
2021-01-08 02:00:00,2.7647000000000004
2021-01-08 03:00:00,9.9248
2021-01-08 04:00:00,7.4681999999999995
2021-01-08 05:00:00,9.1368
2021-01-08 06:00:00,8.8717
2021-01-08 07:00:00,6.0227
2021-01-08 08:00:00,8.3339
2021-01-08 09:00:00,6.9807
2021-01-08 10:00:00,16.0215
2021-01-08 11:00:00,12.6472
2021-01-08 12:00:00,20.1467
2021-01-08 13:00:00,15.3213
2021-01-08 14:00:00,21.8099
2021-01-08 15:00:00,18.8948
2021-01-08 16:00:00,21.6892
2021-01-08 17:00:00,10.4821
2021-01-08 18:00:00,14.5564
2021-01-08 19:00:00,16.8983
2021-01-08 20:00:00,9.5007
2021-01-08 21:00:00,12.9063
2021-01-08 22:00:00,12.7198
2021-01-08 23:00:00,6.4445
2021-01-09 00:00:00,11.2117
2021-01-09 01:00:00,8.4623
2021-01-09 02:00:00,12.0792
2021-01-09 03:00:00,14.0656
2021-01-09 04:00:00,7.3475
2021-01-09 05:00:00,11.1662
2021-01-09 06:00:00,9.0967
2021-01-09 07:00:00,6.6728
2021-01-09 08:00:00,10.8227
2021-01-09 09:00:00,7.5487
2021-01-09 10:00:00,10.162700000000001
2021-01-09 11:00:00,12.768699999999999
2021-01-09 12:00:00,6.3348
2021-01-09 13:00:00,8.8966
2021-01-09 14:00:00,6.5482
2021-01-09 15:00:00,8.1413
2021-01-09 16:00:00,13.0195
2021-01-09 17:00:00,11.4976
2021-01-09 18:00:00,7.8705
2021-01-09 19:00:00,14.8267
2021-01-09 20:00:00,5.4372
2021-01-09 21:00:00,10.187100000000001
2021-01-09 22:00:00,10.8963
2021-01-09 23:00:00,8.4332
2021-01-10 00:00:00,7.1259
2021-01-10 01:00:00,14.2395
2021-01-10 02:00:00,4.1198
2021-01-10 03:00:00,3.1916
2021-01-10 04:00:00,8.7807
2021-01-10 05:00:00,7.2754
2021-01-10 06:00:00,6.6656
2021-01-10 07:00:00,9.9145
2021-01-10 08:00:00,6.6255999999999995
2021-01-10 09:00:00,7.1266
2021-01-10 10:00:00,1.2621
2021-01-10 11:00:00,6.1398
